Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.jfree.chart.StandardChartTheme::applyToAbstractRenderer(org.jfree.chart.renderer.AbstractRenderer):void	org.jfree.chart.renderer.AbstractRenderer	0/4	
Move Method	org.jfree.chart.axis.DateAxis::calculateDateForPosition(org.jfree.data.time.RegularTimePeriod, org.jfree.chart.axis.DateTickMarkPosition):java.util.Date	org.jfree.data.time.RegularTimePeriod	0/3	
Move Method	org.jfree.chart.renderer.OutlierListCollection::updateOutlierList(org.jfree.chart.renderer.OutlierList, org.jfree.chart.renderer.Outlier):boolean	org.jfree.chart.renderer.OutlierList	0/3	
Move Method	org.jfree.chart.JFreeChart::createAlignedRectangle2D(org.jfree.chart.block.Size2D, java.awt.geom.Rectangle2D, org.jfree.chart.api.HorizontalAlignment, org.jfree.chart.api.VerticalAlignment):java.awt.geom.Rectangle2D	org.jfree.chart.block.Size2D	0/2	
Move Method	org.jfree.chart.axis.CategoryAxis::calculateCategoryLabelWidth(org.jfree.chart.text.TextBlock, org.jfree.chart.axis.CategoryLabelPosition, org.jfree.chart.api.RectangleInsets, java.awt.Graphics2D):double	org.jfree.chart.api.RectangleInsets	0/2	
Move Method	org.jfree.chart.axis.CategoryAxis::calculateCategoryLabelHeight(org.jfree.chart.text.TextBlock, org.jfree.chart.axis.CategoryLabelPosition, org.jfree.chart.api.RectangleInsets, java.awt.Graphics2D):double	org.jfree.chart.api.RectangleInsets	0/2	
Move Method	org.jfree.chart.plot.CategoryPlot::drawRangeCrosshair(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotOrientation, double, org.jfree.chart.axis.ValueAxis, java.awt.Stroke, java.awt.Paint):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.plot.XYPlot::drawDomainCrosshair(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotOrientation, double, org.jfree.chart.axis.ValueAxis, java.awt.Stroke, java.awt.Paint):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.plot.XYPlot::drawRangeCrosshair(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotOrientation, double, org.jfree.chart.axis.ValueAxis, java.awt.Stroke, java.awt.Paint):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.ChartTransferable::createBufferedImage(org.jfree.chart.JFreeChart, int, int, int, int, int, int):java.awt.image.BufferedImage	org.jfree.chart.JFreeChart	0/1	
Move Method	org.jfree.chart.block.CenterArrangement::arrangeFN(org.jfree.chart.block.BlockContainer, java.awt.Graphics2D, org.jfree.chart.block.RectangleConstraint):org.jfree.chart.block.Size2D	org.jfree.chart.block.RectangleConstraint	0/1	
