org.jfree.chart.renderer.AbstractRenderer	private void readObject(java.io.ObjectInputStream) throws java.io.IOException, java.lang.ClassNotFoundException	stream	B1	0/17
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	entity	B3	0/15
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	entity	B7	0/8
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	entity	B9	0/4
org.jfree.chart.renderer.LookupPaintScale	public java.awt.Paint getPaint(double) 	item	B9	0/12
org.jfree.chart.renderer.LookupPaintScale	public java.awt.Paint getPaint(double) 	item	B10	0/10
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawRadialGridLines(java.awt.Graphics2D, org.jfree.chart.plot.PolarPlot, org.jfree.chart.axis.ValueAxis, List#RAW, java.awt.geom.Rectangle2D) 	ring	B6	0/8
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	hotspot	B3	0/7
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	hotspot	B4	0/5
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	hotspot	B3	0/7
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	hotspot	B4	0/5
org.jfree.chart.renderer.RendererUtils	public static int findLiveItemsLowerBound(XYDataset#RAW, int, double, double) 	index	B25	0/6
org.jfree.chart.renderer.RendererUtils	public static int findLiveItemsLowerBound(XYDataset#RAW, int, double, double) 	index	B26	0/4
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	tip	B7	0/4
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	paint	B9	0/4
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawRadialGridLines(java.awt.Graphics2D, org.jfree.chart.plot.PolarPlot, org.jfree.chart.axis.ValueAxis, List#RAW, java.awt.geom.Rectangle2D) 	centerValue	B1	0/4
